Name,Category,Price,InStock,Description
מטען נייד QuickCharge 65W,אביזרים,89,TRUE,מטען נייד מהיר לנייד ונייד
אוזניות אלחוטיות Pro X1,אלקטרוניקה,349,TRUE,אוזניות בלוטות' עם ביטול רעש וסוללת 24 שעות
רמקול חכם SmartHome Hub,בית חכם,199,TRUE,מרכז שליטה לבית חכם התומך ב-WiFi ו-Bluetooth
מקלדת מכנית RGB Pro,אלקטרוניקה,249,TRUE,מקלדת מכנית עם תאורת RGB מתגים כחולים ותמיכה במולטימדיה
עכבר גיימינג Vortex 16000DPI,אלקטרוניקה,159,TRUE,עכבר גיימינג אלחוטי עם חיישן אופטי מדויק ו-8 כפתורים מתוכנתים
מסך מחשב 27 אינץ' 4K,אלקטרוניקה,1299,TRUE,מסך IPS 27 אינץ' ברזולוציית 4K קצב רענון 144Hz תמיכה ב-HDR
רמקול בלוטות' נייד SoundWave 2,אלקטרוניקה,219,TRUE,רמקול בלוטות' עמיד במים עם 12 שעות נגינה וצליל סטריאו 360 מעלות
מצלמת אבטחה חכמה HomeGuard,בית חכם,289,TRUE,מצלמת אבטחה עם ראיית לילה זיהוי תנועה והתראות לנייד דרך אפליקציה
נורה חכמה צבעונית SmartBulb,בית חכם,59,TRUE,נורת LED חכמה התומכת ב-16 מיליון צבעים ושליטה קולית
שקע חכם WiFi Plug,בית חכם,45,FALSE,שקע חכם לשליטה מרחוק במכשירי חשמל דרך אפליקציה או פקודות קוליות
סוללת גיבוי ניידת 20000mAh,אביזרים,129,TRUE,סוללת גיבוי בקיבולת גבוהה עם שני יציאות USB וטעינה מהירה
כבל USB-C לטעינה מהירה 2 מטר,אביזרים,29,TRUE,כבל טעינה עמיד באריגה עם תמיכה ב-100W Power Delivery
מעמד למחשב נייד מתכוונן,אביזרים,79,FALSE,מעמד אלומיניום מתכוונן לגובה עם אוורור משופר למחשב נייד
